FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_82.jpg,0,0,0,75055,133,103,98,72585,79,64,66,55467,152,147,152,41899,215,141,101,17138
Normal_83.jpg,0,0,0,75036,150,114,105,66171,103,86,85,60956,61,53,58,38813,209,144,116,21168
Normal_84.jpg,0,0,0,75711,133,102,97,68911,155,133,131,45070,72,62,67,43269,227,147,103,29183
Normal_85.jpg,0,0,0,74243,119,114,122,52914,144,100,88,47833,162,134,132,44466,89,78,85,42688
Normal_86.jpg,0,0,0,75522,175,87,36,50543,117,69,35,48097,60,49,33,47125,233,107,33,40857
Normal_87.jpg,117,86,61,71865,0,0,0,64834,152,100,70,61299,73,53,37,45676,216,113,70,18470
Normal_88.jpg,0,0,0,75255,62,53,36,55631,147,80,37,47130,103,66,36,44334,196,94,36,39794
Normal_89.jpg,0,0,0,74229,132,100,92,68851,76,67,69,62494,192,132,107,34659,252,198,129,21911
Normal_9.jpg,0,0,0,75209,97,76,79,57452,114,91,94,56814,70,57,63,46684,123,109,115,25985
Normal_90.jpg,118,80,74,79763,0,0,0,60770,67,50,46,54158,171,91,82,33990,230,128,105,33463
Normal_91.jpg,0,0,0,75018,128,93,80,62580,83,70,71,47936,125,119,123,44975,156,152,151,31635
Normal_92.jpg,0,0,0,73680,69,53,31,61760,174,90,34,46736,121,74,34,41852,232,103,24,38116
Normal_93.jpg,71,60,37,74581,0,0,0,74160,123,72,34,43661,185,84,31,35112,241,99,29,34630
Normal_94.jpg,0,0,0,74234,133,100,57,59070,80,64,39,52778,164,83,35,47787,209,119,56,28275
Normal_95.jpg,0,0,0,74318,117,77,40,71826,68,56,35,51650,164,91,37,36674,225,120,40,27676
Normal_97.jpg,86,80,76,79784,0,0,0,75009,124,76,53,42196,181,93,52,41675,237,117,49,23480
Normal_98.jpg,0,0,0,74093,110,91,97,61574,158,123,122,61511,59,52,61,35233,217,163,152,29733
Normal_99.jpg,157,114,78,85695,0,0,0,59621,187,121,83,49537,121,84,58,38277,82,58,40,29014
